Date,Open,High,Low,Close,Adj Close,Volume
2018-06-11,68.919998,69.169998,68.070000,68.110001,66.324509,13941500
2018-06-12,68.260002,68.570000,67.440002,67.610001,65.837616,13737100
2018-06-13,67.820000,68.410004,67.220001,67.290001,65.526001,17531500
2018-06-14,67.559998,67.610001,65.949997,66.160004,64.425621,24035400
2018-06-15,66.320000,66.620003,65.239998,66.339996,64.600899,29314800
2018-06-18,65.750000,66.809998,65.379997,66.750000,65.000153,13680800
2018-06-19,66.029999,66.910004,65.949997,66.779999,65.029366,16892800
2018-06-20,67.720001,67.949997,67.129997,67.379997,65.613640,16697100
2018-06-21,67.160004,68.089996,66.699997,67.629997,65.857079,16545800
2018-06-22,68.040001,68.209999,67.160004,67.199997,65.438347,16059900
2018-06-25,66.790001,66.879997,65.339996,65.750000,64.026375,21426600
2018-06-26,65.510002,66.690002,64.379997,66.309998,64.571686,22613700
2018-06-27,66.220001,67.559998,65.440002,65.459999,63.743969,20917500
2018-06-28,65.980003,67.129997,65.559998,66.879997,65.126747,19860100
2018-06-29,68.000000,68.769997,66.879997,66.919998,65.165695,24193900
2018-07-02,66.209999,67.160004,65.940002,67.160004,65.399406,12699100
2018-07-03,67.449997,67.489998,65.940002,66.059998,64.328232,12346000
2018-07-05,66.440002,66.830002,66.220001,66.559998,64.815132,12359000
2018-07-06,66.220001,67.339996,65.900002,67.139999,65.379921,13174900
2018-07-09,67.500000,69.050003,67.489998,68.940002,67.132744,15148500
2018-07-10,69.230003,69.349998,67.949997,68.230003,66.441353,17057700
2018-07-11,67.970001,68.459999,67.839996,67.910004,66.129745,13262800
2018-07-12,68.360001,68.599998,67.940002,68.510002,66.714012,13345200
2018-07-13,67.989998,68.300003,66.220001,67.000000,65.243599,34054000
2018-07-16,67.360001,69.709999,67.279999,69.459999,67.639114,26659900
2018-07-17,69.500000,69.870003,68.800003,69.349998,67.531990,17262800
2018-07-18,69.220001,70.260002,69.220001,69.849998,68.018890,16321200
2018-07-19,69.500000,69.559998,68.559998,68.989998,67.181427,14833900
2018-07-20,68.790001,69.559998,68.529999,69.220001,67.405403,12017500
2018-07-23,69.160004,70.449997,69.010002,70.209999,68.369446,15764000
2018-07-24,70.400002,71.470001,70.290001,71.070000,69.206902,21883800
2018-07-25,70.820000,71.750000,70.750000,71.720001,69.839867,14232700
2018-07-26,71.750000,71.910004,71.250000,71.339996,69.469826,11169200
2018-07-27,71.360001,71.820000,71.160004,71.690002,69.810654,11194100
2018-07-30,71.860001,72.790001,71.800003,72.290001,70.394928,16339100
2018-07-31,72.199997,72.370003,71.629997,71.889999,70.005409,13608100
2018-08-01,72.500000,73.080002,71.900002,71.930000,70.044357,13612200
2018-08-02,71.339996,71.930000,71.019997,71.839996,69.956718,13248600
2018-08-03,71.639999,72.519997,71.570000,72.389999,70.936646,13680000
2018-08-06,72.160004,72.650002,71.930000,72.400002,70.946442,10121400
2018-08-07,72.570000,72.910004,72.389999,72.410004,70.956245,12991100
2018-08-08,72.139999,73.209999,72.059998,72.889999,71.426605,10178900
2018-08-09,72.440002,72.650002,71.889999,71.980003,70.534874,11042100
2018-08-10,70.629997,70.900002,69.900002,70.260002,68.849403,20240100
2018-08-13,70.199997,70.360001,69.059998,69.160004,67.771492,16836300
2018-08-14,69.300003,70.199997,69.250000,70.010002,68.604424,12668200
2018-08-15,69.230003,69.430000,68.080002,68.650002,67.271729,18952300
2018-08-16,69.160004,69.889999,69.089996,69.559998,68.163452,13439600
2018-08-17,69.419998,69.870003,69.250000,69.669998,68.271248,10329600
2018-08-20,69.459999,70.699997,69.379997,70.529999,69.113976,11233300
2018-08-21,70.629997,71.650002,70.580002,71.239998,69.809723,12261100
2018-08-22,71.160004,71.419998,70.970001,71.120003,69.692139,7297600
2018-08-23,71.029999,71.209999,70.639999,70.809998,69.388359,8310000
2018-08-24,70.599998,71.260002,70.510002,70.669998,69.251175,8760000
2018-08-27,71.070000,72.650002,70.940002,72.389999,70.936646,13545300
2018-08-28,72.570000,72.750000,72.220001,72.379997,70.926834,9688600
2018-08-29,72.300003,72.839996,72.019997,72.529999,71.073830,7146800
2018-08-30,72.089996,72.360001,71.330002,71.459999,70.025307,13197700
2018-08-31,71.050003,71.290001,70.589996,71.239998,69.809723,11898200
2018-09-04,70.989998,71.580002,70.370003,71.400002,69.966522,10108500
2018-09-05,71.199997,71.779999,71.139999,71.169998,69.741135,13138100
2018-09-06,70.930000,71.110001,69.919998,70.110001,68.702415,15207100
2018-09-07,70.339996,70.449997,69.470001,69.639999,68.241852,15180600
2018-09-10,69.980003,70.279999,69.620003,69.629997,68.232048,12353600
2018-09-11,69.260002,69.709999,68.910004,69.430000,68.036072,12650000
2018-09-12,70.959999,71.650002,70.510002,70.510002,69.094391,17434900
2018-09-13,70.900002,71.699997,70.029999,70.150002,68.741615,13569000
2018-09-14,70.180000,70.879997,70.150002,70.540001,69.123779,9653300
2018-09-17,70.790001,71.449997,70.400002,70.879997,69.456955,11323000
2018-09-18,71.300003,71.589996,70.599998,71.360001,69.927315,11457100
2018-09-19,71.540001,74.129997,71.540001,73.720001,72.239937,21766100
2018-09-20,74.500000,75.010002,74.260002,74.790001,73.288460,23550500
2018-09-21,74.980003,75.239998,73.970001,74.150002,72.661308,28874700
2018-09-24,74.080002,74.529999,73.120003,73.839996,72.357529,14023100
2018-09-25,74.220001,74.529999,73.470001,73.510002,72.034157,12324300
2018-09-26,73.519997,73.989998,72.370003,72.449997,70.995430,15060000
2018-09-27,72.900002,73.620003,72.379997,72.949997,71.485390,11420600
2018-09-28,72.059998,72.430000,71.480003,71.739998,70.299690,14341900
2018-10-01,72.239998,72.860001,71.760002,71.930000,70.485870,11263700
2018-10-02,71.510002,72.180000,71.029999,71.800003,70.358490,12746900
2018-10-03,72.540001,72.839996,72.019997,72.360001,70.907242,11977900
2018-10-04,72.779999,73.980003,72.019997,72.620003,71.162025,18956800
2018-10-05,72.949997,73.120003,72.070000,72.419998,70.966042,11481400
2018-10-08,71.690002,72.980003,71.519997,72.589996,71.132614,11958200
2018-10-09,72.059998,72.699997,71.410004,71.889999,70.446678,15654500
2018-10-10,72.070000,72.500000,69.870003,69.949997,68.545624,23679600
