Date,Open,High,Low,Close,Adj Close,Volume
2018-06-11,39.770000,40.349998,39.709999,40.230000,39.309410,6848500
2018-06-12,40.240002,40.520000,39.930000,40.430000,39.504833,8043400
2018-06-13,40.330002,40.509998,39.959999,40.139999,39.221466,9251500
2018-06-14,40.070000,40.580002,39.889999,40.400002,39.475517,7167800
2018-06-15,40.320000,40.980000,40.070000,40.820000,39.885906,13370600
2018-06-18,40.700001,40.799999,39.980000,40.180000,39.260555,8244800
2018-06-19,40.009998,40.580002,39.900002,40.340000,39.416893,8610200
2018-06-20,40.380001,40.810001,40.040001,40.759998,39.827278,8344300
2018-06-21,40.779999,40.830002,40.450001,40.740002,39.807743,8834600
2018-06-22,40.810001,41.400002,40.730000,41.299999,40.354923,8878400
2018-06-25,41.290001,41.700001,41.040001,41.450001,40.501495,8599100
2018-06-26,41.419998,41.570000,41.009998,41.180000,40.237671,4978200
2018-06-27,41.090000,41.490002,40.740002,40.990002,40.052017,6409200
2018-06-28,40.880001,41.250000,40.630001,40.900002,40.179729,5503500
2018-06-29,40.730000,41.360001,40.709999,41.000000,40.277969,8391000
2018-07-02,40.930000,41.029999,40.520000,40.860001,40.140430,4713700
2018-07-03,41.080002,41.200001,40.750000,40.810001,40.091316,2751100
2018-07-05,40.990002,41.889999,40.750000,41.860001,41.122822,7419100
2018-07-06,41.869999,42.590000,41.860001,42.349998,41.604191,8891300
2018-07-09,42.389999,42.509998,42.029999,42.169998,41.427361,3967600
2018-07-10,42.230000,42.320000,41.970001,42.080002,41.338947,4697600
2018-07-11,41.950001,42.279999,41.860001,42.250000,41.505959,4315400
2018-07-12,42.389999,42.599998,42.189999,42.450001,41.702435,5232700
2018-07-13,42.459999,42.849998,42.369999,42.830002,42.075741,4422900
2018-07-16,42.860001,42.860001,42.130001,42.310001,41.564899,6823900
2018-07-17,42.209999,42.950001,42.119999,42.830002,42.075741,7048200
2018-07-18,42.700001,42.779999,42.070000,42.130001,41.388069,7347000
2018-07-19,42.080002,42.509998,41.900002,42.240002,41.496128,6273300
2018-07-20,42.340000,42.560001,42.090000,42.450001,41.702435,6759200
2018-07-23,42.259998,42.340000,41.500000,41.680000,40.945992,6279600
2018-07-24,41.279999,41.790001,41.080002,41.520000,40.788811,8714500
2018-07-25,41.000000,41.759998,41.000000,41.500000,40.769165,9949500
2018-07-26,43.160000,43.639999,43.040001,43.270000,42.507992,13448200
2018-07-27,43.400002,43.500000,42.810001,42.900002,42.144508,8679800
2018-07-30,42.880001,43.189999,42.669998,43.000000,42.242748,7855700
2018-07-31,43.180000,43.439999,42.880001,43.380001,42.616058,9298700
2018-08-01,43.279999,43.320000,42.799999,42.830002,42.075741,8114400
2018-08-02,42.689999,43.240002,42.619999,43.160000,42.399929,7936100
2018-08-03,43.290001,44.230000,43.160000,43.759998,42.989361,9908100
2018-08-06,43.740002,43.750000,43.240002,43.270000,42.507992,6513800
2018-08-07,43.340000,43.340000,42.830002,42.939999,42.183804,6774700
2018-08-08,42.930000,43.020000,42.380001,42.389999,41.643486,4744600
2018-08-09,42.500000,42.669998,42.110001,42.160000,41.417538,5354200
2018-08-10,42.110001,42.240002,41.880001,41.939999,41.201412,4491500
2018-08-13,41.970001,42.090000,41.680000,41.900002,41.162117,5460800
